fco(MPa), d(mm), L(mm), ff(MPa), Ef(GPa), tf(mm), fcc(MPa)
28.79,105,582,1150,115.2,0.6,80.7
85.9,105,762,1150,120,0.338,101.61
49.6,150,305,2589,125.7,0.6,112.3
33.3,194,450,2390,87.3,0.858,132.8
30.2,76,750,2323,97.1,4.3,87.6
119.3,150,750,230,62.2,0.143,74.8
54,105,305,2663,118,1.2,50.3
85.9,200,750,3732,125.7,0.169,153.95
82.4,194,750,2390,115,0.572,105.3
101.18,152,762,2390,116,0.072,83.3
106,152,200,2060,62.2,0.072,45.2
43,105,200,2390,116,2.1,50.3
80.5,150,750,2323,116,0.858,173.8
104.5,100,450,2663,120,2.8,60.3
44.7,194,210,2390,118,0.6,90.1
119.3,194,450,2589,62.2,0.4,117.3
51.1,152,762,2589,116,1.27,156.6
98,70,315,2707,118,0.15,183.8
28.79,194,457,2667,115,0.169,93.4
114.7,194,305,2323,118,0.143,88.65
57.5,76,305,2663,128.5,2.56,92.1
35.6,76,305,2900,125.7,0.2,68.5
78.5,100,300,2663,128.5,1.27,53.3
102,100,305,2667,62.2,0.15,111.43
