fco,epsco,D,L,ff,Ef,tf,epscu
35.5,0.35,152,300,3732,128.5,0.4,0.4
110.2,0.33,100,152,2900,116.0,2.56,3.31
110.2,0.28,150,315,2390,120.0,0.338,1.44
101.18,0.3,100,450,2930,128.5,0.169,1.45
83.6,0.35,152,305,2060,99.0,0.858,1.02
49.6,0.23,152,152,2060,128.5,1.27,1.67
35.5,0.46,100,300,2060,128.5,0.072,2.23
39.0,0.45,150,152,2663,99.0,0.858,2.95
83.6,0.46,152,582,230,116.0,0.095,1.85
110.1,0.45,100,305,2663,125.7,0.143,0.54
110.2,0.3,100,457,3732,128.5,0.3,3.18
101.18,0.34,100,200,230,125.7,0.057,0.58
102.0,0.26,100,200,2390,99.0,0.572,0.45
37.2,0.23,100,200,2930,120.0,0.507,3.45
39.2,0.21,150,200,3732,13.6,0.191,1.25
37.0,0.23,150,200,3732,118.0,3.86,0.63
109.8,0.31,152,450,2930,99.0,0.9,1.96
80.5,0.2,100,582,2900,99.0,0.169,0.63
35.4,0.29,105,450,2060,128.5,0.572,1.43
82.4,0.34,105,300,2900,13.6,1.27,3.48
29.6,0.21,152,300,2900,128.5,1.2,0.89
78.0,0.28,105,450,230,116.0,0.572,2.32
28.79,0.23,105,315,2663,128.5,0.057,2.23
106.0,0.26,194,300,3732,99.0,0.6,1.95
119.3,0.31,105,457,2663,128.5,0.6,0.95
50.64,0.3,105,582,2900,115.2,0.507,0.6
106.0,0.24,70,200,2390,13.6,0.143,1.09
49.6,0.29,100,300,2060,115.2,0.4,0.93
100.0,0.27,105,315,3732,99.0,3.86,0.88
49.6,0.29,100,315,2060,99.0,0.143,1.11
39.2,0.31,152,305,230,115.2,0.4,0.4
47.3,0.27,152,200,2900,118.0,0.572,1.96
39.2,0.35,194,582,2390,128.5,0.507,1.63
49.4,0.45,70,457,2060,118.0,0.057,2.38
114.7,0.3,152,305,2900,128.5,0.3,0.52
39.2,0.3,194,450,3732,118.0,0.3,1.56
55.2,0.31,105,315,2663,128.5,0.338,1.43
43.0,0.2,105,200,2060,128.5,0.2,0.36
102.2,0.2,70,457,2900,99.0,0.4,4.39
78.5,0.23,70,582,2060,13.6,0.3,1.78
47.3,0.27,105,152,230,115.2,0.8,2.09
55.2,0.34,100,305,2930,118.0,0.3,1.44
39.0,0.21,152,152,2390,120.0,0.6,1.65
114.7,0.24,194,582,2900,116.0,0.3,3.39
55.2,0.19,100,457,2930,116.0,0.9,3.55
102.2,0.25,152,152,2390,118.0,1.27,2.38
100.0,0.21,100,457,2060,115.2,0.338,1.64
114.7,0.2,152,315,2390,118.0,0.286,0.93
29.6,0.29,194,300,2390,120.0,0.338,0.45
49.6,0.31,100,152,230,118.0,0.2,1.56
39.0,0.45,152,152,2060,115.2,0.8,3.04
36.6,0.23,152,305,2390,125.7,0.169,1.43
107.3,0.31,70,305,3732,115.2,0.8,1.0
39.0,0.33,70,582,2663,118.0,0.572,1.97
119.3,0.23,152,305,3732,118.0,3.86,3.41
43.0,0.35,152,210,2060,118.0,0.572,2.18
80.5,0.29,152,210,3732,116.0,0.572,3.41
77.0,0.45,152,152,2390,118.0,1.2,3.8
43.0,0.45,150,210,3732,128.5,0.6,1.08
29.6,0.26,152,582,2900,120.0,0.2,1.71
78.0,0.25,70,300,2663,99.0,0.072,1.75
83.6,0.34,150,315,2060,120.0,0.2,2.48
106.0,0.21,70,457,2663,118.0,0.4,3.41
80.5,0.27,152,152,3732,115.2,0.057,3.68
106.0,0.31,70,582,2930,118.0,0.3,1.49
85.9,0.24,100,450,2390,115.2,0.338,1.7
77.0,0.31,152,152,2900,128.5,0.286,2.53
28.79,0.33,100,457,2390,120.0,0.338,1.44
110.2,0.26,150,305,2390,118.0,0.143,0.51
46.43,0.46,152,582,2663,13.6,0.169,3.21
29.6,0.31,194,300,2900,120.0,0.286,3.37
107.3,0.25,100,582,2900,115.2,1.2,2.6
102.2,0.46,70,305,3732,13.6,0.3,0.47
37.0,0.28,100,300,2663,128.5,0.095,1.43
50.64,0.33,194,152,3732,118.0,0.507,1.42
39.0,0.25,100,305,2390,13.6,0.169,3.41
49.4,0.23,70,457,2900,118.0,2.56,3.48
119.3,0.25,152,305,2390,120.0,1.2,1.85
35.5,0.31,150,582,3732,125.7,2.56,2.86
119.3,0.25,70,762,2900,115.2,0.072,0.58
51.1,0.45,70,457,2900,116.0,0.2,0.95
84.9,0.35,194,300,2900,118.0,0.143,1.92
77.2,0.25,70,457,230,13.6,2.56,3.48
36.6,0.2,152,457,2930,13.6,2.56,0.45
74.0,0.2,152,152,2930,13.6,0.507,0.45
36.6,0.25,152,450,2900,13.6,0.169,0.63
46.43,0.21,150,457,2930,128.5,0.191,1.49
49.4,0.28,100,200,2663,128.5,0.095,3.17
49.6,0.25,152,300,2390,125.7,0.169,1.66
77.0,0.46,152,315,2060,116.0,0.858,3.68
74.0,0.33,194,300,2900,13.6,0.4,0.47
49.6,0.25,70,200,2663,116.0,0.191,2.21
77.9,0.46,152,305,2060,13.6,0.572,1.75
77.9,0.2,70,457,2060,99.0,0.6,0.42
80.5,0.33,152,300,2663,115.2,0.572,1.65
84.9,0.29,152,315,2900,125.7,0.4,0.47
114.7,0.31,194,210,2930,120.0,0.8,1.88
46.43,0.21,194,210,2900,118.0,0.8,3.31
78.0,0.33,194,152,2900,99.0,0.286,0.95
50.64,0.25,105,305,2663,99.0,0.9,0.78
35.5,0.3,152,300,2390,120.0,0.9,1.95
78.0,0.25,100,450,2663,118.0,0.3,2.11
83.0,0.29,152,450,2390,128.5,0.858,2.11
37.0,0.24,100,582,2930,120.0,0.286,3.1
49.6,0.33,70,582,2060,99.0,0.9,1.96
114.7,0.31,70,200,3732,120.0,0.2,1.43
50.64,0.24,105,152,2663,118.0,0.338,3.47
110.1,0.21,70,305,2663,118.0,0.3,0.89
57.5,0.25,70,305,2663,116.0,0.6,0.91
43.0,0.23,70,200,2900,128.5,0.4,2.48
28.79,0.23,152,200,3732,115.2,0.858,3.68
29.6,0.19,105,582,3732,118.0,0.6,2.11
50.64,0.3,105,152,3732,118.0,3.86,1.68
34.0,0.26,152,457,2900,118.0,0.143,2.48
77.2,0.21,105,315,2663,116.0,0.095,1.97
78.5,0.2,150,152,2930,120.0,0.338,1.58
35.5,0.35,100,457,230,120.0,1.2,0.42
80.5,0.35,100,457,2060,115.2,0.095,2.6
77.9,0.28,150,582,2930,115.2,0.286,2.2
50.64,0.25,152,582,230,120.0,0.8,0.51
85.9,0.25,152,200,2930,116.0,1.2,0.6
84.9,0.2,100,315,2390,116.0,2.56,3.15
79.6,0.21,150,305,2663,125.7,0.057,3.68
39.2,0.29,105,762,2900,13.6,0.6,3.04
77.0,0.28,100,200,2060,99.0,0.191,3.21
50.64,0.35,152,152,2390,116.0,0.8,3.04
43.0,0.45,100,582,2930,120.0,0.9,1.89
82.4,0.46,150,200,2390,118.0,0.858,2.34
74.0,0.35,105,300,3732,99.0,0.338,2.11
114.7,0.31,100,300,2060,116.0,2.56,1.85
77.2,0.31,152,762,2060,120.0,0.191,1.63
110.2,0.26,100,305,2663,128.5,0.858,1.0
110.2,0.46,152,300,2930,115.2,0.858,3.1
106.0,0.28,100,210,2390,118.0,0.8,0.52
114.7,0.19,100,450,2390,99.0,1.2,2.32
77.0,0.23,152,582,2390,118.0,0.286,3.4
114.7,0.19,105,315,2900,115.2,0.9,2.53
119.3,0.2,100,300,2900,116.0,0.858,0.51
74.0,0.35,152,457,2663,99.0,1.2,0.93
28.79,0.35,194,200,3732,128.5,0.338,3.55
50.64,0.21,152,450,2390,115.2,0.191,2.2
83.6,0.28,70,582,2900,116.0,0.8,1.17
110.1,0.29,100,300,2900,125.7,0.6,1.45
46.43,0.21,100,305,2390,120.0,0.286,4.78
77.2,0.29,100,582,2900,118.0,0.507,1.64
110.2,0.35,194,582,2060,116.0,0.143,0.39
114.7,0.21,105,300,2390,116.0,0.338,2.49
39.0,0.46,100,300,230,13.6,0.2,1.78
39.0,0.31,105,300,2060,99.0,0.191,3.73
82.4,0.27,152,200,2390,118.0,0.095,3.17
102.2,0.21,105,305,2663,116.0,0.9,0.37
74.0,0.34,100,210,3732,128.5,0.169,0.51
74.0,0.24,152,152,2390,118.0,0.4,1.3
119.3,0.34,70,152,2390,116.0,1.2,3.68
78.0,0.27,70,457,2060,118.0,0.338,3.31
102.0,0.23,105,315,3732,115.2,0.9,2.47
77.0,0.27,105,762,2930,115.2,0.6,1.87
46.43,0.3,152,582,230,116.0,0.338,0.4
109.8,0.35,152,762,2390,116.0,3.86,1.67
119.3,0.26,150,300,2390,128.5,0.2,2.21
57.5,0.28,150,457,2930,118.0,0.6,1.78
110.1,0.19,152,210,2930,125.7,0.9,3.22
83.6,0.25,152,762,2663,13.6,0.072,0.51
78.5,0.46,152,582,2663,115.2,0.072,2.21
37.2,0.45,100,152,2060,125.7,0.6,2.89
102.0,0.28,100,305,2663,118.0,0.3,0.94
43.0,0.33,105,315,230,115.2,0.2,0.53
110.1,0.35,105,315,2900,115.2,0.4,0.57
82.4,0.2,194,762,2930,120.0,0.286,1.29
79.6,0.2,70,582,2060,99.0,1.2,2.12
83.6,0.29,150,457,2060,128.5,0.6,0.46
110.2,0.19,105,582,3732,128.5,0.338,1.0
82.4,0.31,152,450,2060,99.0,0.057,3.5
57.5,0.3,152,305,2930,128.5,0.6,1.43
55.2,0.2,100,300,2663,118.0,0.3,2.01
77.9,0.21,100,200,2930,120.0,2.56,1.56
49.6,0.45,152,210,2390,118.0,0.572,0.39
104.5,0.46,105,315,2390,118.0,0.143,1.4
55.2,0.21,100,210,2390,118.0,0.4,3.47
82.4,0.34,105,152,2900,128.5,0.169,0.38
77.2,0.23,194,152,2900,116.0,0.3,1.47
114.7,0.26,194,305,2390,115.2,0.507,0.94
106.0,0.2,194,300,230,13.6,0.8,2.01
83.0,0.25,152,582,2390,116.0,0.286,0.36
106.0,0.45,152,450,2900,128.5,1.2,2.47
37.2,0.35,152,315,2390,116.0,0.507,0.6
29.6,0.3,70,305,2060,128.5,0.507,1.65
82.4,0.31,152,305,2060,118.0,0.572,0.95
57.5,0.26,105,762,2060,128.5,1.27,0.91
49.6,0.2,100,152,3732,99.0,0.169,1.4
39.2,0.45,150,582,2390,115.2,0.6,2.01
83.6,0.23,105,450,230,116.0,0.095,0.95
29.6,0.35,152,305,2900,115.2,0.338,2.32
74.0,0.33,150,315,2390,128.5,0.507,2.2
110.2,0.24,70,300,2663,116.0,0.169,2.23
114.7,0.35,150,315,3732,118.0,1.2,2.77
102.0,0.31,105,305,2390,13.6,0.169,0.47
57.5,0.23,100,300,2663,128.5,2.56,2.38
49.4,0.29,194,315,3732,118.0,0.191,2.47
29.6,0.33,70,305,2663,116.0,0.143,1.45
49.6,0.29,100,450,2663,116.0,0.057,3.47
79.6,0.2,100,152,2390,116.0,0.2,2.48
104.5,0.25,194,457,2900,125.7,0.572,1.58
109.8,0.25,152,305,2663,13.6,0.8,0.71
85.9,0.23,100,210,2060,128.5,0.6,1.48
49.4,0.24,152,315,2060,120.0,0.057,0.37
51.1,0.45,70,210,3732,99.0,3.86,0.37
80.5,0.34,105,152,3732,125.7,0.057,0.71
39.2,0.27,100,762,2060,99.0,0.338,2.05
102.0,0.46,152,315,2930,115.2,0.169,3.01
74.0,0.46,70,210,2930,128.5,1.27,1.17
101.18,0.34,150,582,2060,116.0,0.8,3.1
77.2,0.27,152,582,2663,128.5,0.057,2.11
74.0,0.35,100,210,2930,118.0,0.4,2.01
43.0,0.34,150,457,2900,125.7,0.8,1.0
80.5,0.29,194,582,2663,128.5,0.4,0.6
109.8,0.33,152,300,2930,128.5,0.4,1.67
74.0,0.33,105,305,2060,118.0,0.9,2.96
50.64,0.46,70,210,2390,116.0,1.27,2.47
37.0,0.27,70,457,3732,99.0,0.572,1.15
110.1,0.35,150,582,2390,13.6,0.338,3.8
34.0,0.26,100,200,2663,99.0,0.9,1.58
35.4,0.24,105,305,2060,118.0,0.072,1.68
78.0,0.45,152,457,2390,120.0,0.057,0.71
82.4,0.27,100,582,2390,125.7,0.191,2.2
50.64,0.33,105,315,3732,115.2,0.6,2.49
84.9,0.28,100,210,2930,13.6,0.4,1.56
104.5,0.23,70,305,2900,13.6,2.56,0.52
34.0,0.26,105,305,2663,118.0,0.6,0.93
83.0,0.31,150,152,2930,128.5,0.858,1.67
35.5,0.26,194,300,2930,118.0,2.56,1.56
82.4,0.26,152,300,230,120.0,0.6,4.6
51.1,0.35,105,450,2060,115.2,0.143,3.47
77.9,0.34,194,300,2663,116.0,3.86,1.42
28.79,0.28,152,305,2900,128.5,0.169,2.34
101.18,0.29,152,450,2930,128.5,0.2,3.21
39.2,0.28,105,315,3732,13.6,1.2,2.2
77.9,0.23,100,457,2663,115.2,1.2,1.44
85.9,0.19,194,582,2060,125.7,0.2,1.63
36.6,0.24,100,200,2900,118.0,0.2,0.94
80.5,0.24,70,305,230,118.0,1.27,1.48
57.5,0.28,100,582,3732,120.0,0.4,3.04
36.6,0.2,150,450,2900,125.7,0.572,1.75
43.0,0.27,105,450,2930,99.0,0.6,1.43
102.0,0.24,100,300,2900,125.7,0.858,1.06
77.0,0.19,152,315,2060,118.0,0.9,2.23
39.0,0.34,152,152,3732,13.6,0.9,0.58
35.5,0.19,70,305,2900,115.2,0.9,0.58
100.0,0.46,105,305,2900,125.7,0.143,2.11
28.79,0.2,100,305,2060,125.7,0.143,3.21
35.5,0.33,150,300,2060,115.2,0.286,0.89
114.7,0.3,105,582,2390,120.0,0.8,3.1
107.3,0.25,105,200,2390,118.0,0.169,1.17
100.0,0.28,150,200,2390,118.0,2.56,1.85
78.0,0.2,152,305,2390,99.0,0.8,1.7
110.1,0.23,105,305,2900,125.7,0.9,1.64
36.6,0.28,194,582,2900,99.0,0.095,2.01
119.3,0.34,150,305,2900,115.2,0.8,2.05
102.2,0.28,150,152,2930,116.0,0.072,2.98
101.18,0.35,70,152,3732,128.5,0.4,0.95
55.2,0.25,152,305,2390,116.0,1.27,3.55
28.79,0.34,152,315,2930,13.6,0.057,2.01
102.0,0.3,100,152,2060,99.0,0.338,1.06
46.43,0.28,105,300,2390,128.5,1.27,1.62
83.0,0.21,105,200,2900,118.0,0.191,3.17
74.0,0.24,152,152,3732,125.7,0.4,0.54
80.5,0.27,100,210,2390,128.5,0.286,3.37
83.0,0.35,105,450,2900,128.5,0.8,1.4
101.18,0.45,194,762,2930,118.0,0.4,1.89
37.0,0.25,152,762,2060,120.0,0.191,3.73
100.0,0.23,70,300,2390,99.0,0.6,0.51
39.2,0.34,100,152,2663,118.0,0.072,1.45
104.5,0.45,70,152,2390,120.0,0.072,2.38
78.5,0.27,194,200,2060,116.0,3.86,0.4
50.64,0.45,105,200,2930,99.0,0.6,2.86
39.0,0.45,100,315,2390,118.0,0.507,2.81
83.0,0.24,70,457,2060,128.5,0.572,3.5
109.8,0.45,194,300,3732,118.0,0.8,2.01
77.2,0.29,152,450,2060,125.7,0.095,1.47
49.4,0.34,152,152,2900,128.5,0.2,2.07
83.0,0.24,100,315,2060,120.0,1.27,1.92
110.1,0.3,150,457,3732,116.0,0.4,0.47
46.43,0.33,194,305,3732,118.0,2.56,0.94
49.4,0.24,70,315,2060,116.0,0.6,1.61
85.9,0.45,105,152,2930,13.6,0.095,2.11
39.0,0.21,100,315,2900,118.0,0.169,3.04
82.4,0.3,194,315,2060,128.5,0.3,2.86
29.6,0.26,152,457,2390,115.2,0.072,1.43
55.2,0.45,100,582,2390,99.0,2.56,4.78
106.0,0.26,152,762,3732,118.0,0.143,2.21
83.6,0.45,100,305,2663,116.0,2.56,0.45
35.4,0.25,152,210,2663,128.5,0.169,2.31
84.9,0.25,100,300,2390,99.0,0.3,2.06
43.0,0.35,100,762,2060,128.5,1.2,4.39
39.2,0.35,152,315,2390,125.7,0.072,2.07
101.18,0.21,100,582,2390,128.5,0.4,0.54
110.2,0.25,194,762,2060,118.0,0.6,4.78
80.5,0.31,100,305,2663,120.0,0.8,2.05
29.6,0.28,100,450,2663,99.0,0.6,2.05
107.3,0.25,152,152,2900,115.2,1.2,1.67
46.43,0.23,152,305,2930,120.0,0.143,4.39
39.0,0.29,150,762,230,13.6,0.572,1.96
106.0,0.31,152,457,3732,99.0,0.6,2.23
35.4,0.3,152,305,2663,116.0,0.9,1.42
49.6,0.26,150,210,2060,128.5,0.095,1.78
37.2,0.23,100,200,2060,99.0,0.286,2.2
110.1,0.34,70,457,3732,116.0,0.8,1.78
37.0,0.25,105,305,2060,125.7,0.191,2.96
107.3,0.26,70,200,2390,118.0,0.9,0.36
104.5,0.3,105,210,2390,13.6,0.6,0.6
55.2,0.29,194,305,2663,118.0,0.4,2.06
51.1,0.23,70,152,3732,120.0,0.3,4.6
85.9,0.31,152,582,2060,118.0,0.6,1.3
49.4,0.26,152,300,2060,118.0,0.2,2.34
110.1,0.31,100,762,2060,120.0,0.3,2.12
78.5,0.27,150,200,2060,118.0,0.191,1.29
102.0,0.31,152,200,2390,125.7,1.27,2.32
74.0,0.19,152,200,230,118.0,0.169,3.55
114.7,0.21,100,305,2900,116.0,1.27,1.17
36.6,0.26,150,582,2663,128.5,0.338,1.66
77.2,0.29,194,152,2900,128.5,0.572,1.09
51.1,0.26,70,450,230,120.0,0.072,1.08
37.0,0.27,100,152,2390,116.0,0.072,1.43
34.0,0.25,152,762,230,125.7,0.2,2.86
39.0,0.34,70,152,2900,99.0,3.86,0.37
83.6,0.21,100,762,2900,118.0,0.4,1.95
57.5,0.25,100,200,2060,128.5,0.6,3.73
46.43,0.35,152,305,2663,99.0,0.338,1.87
119.3,0.35,105,305,2900,125.7,0.572,3.73
74.0,0.23,150,305,2930,116.0,0.057,3.45
83.6,0.21,70,305,2900,118.0,0.169,3.39
77.0,0.35,194,152,2900,118.0,0.8,1.4
57.5,0.23,194,582,2060,118.0,0.057,2.31
104.5,0.2,194,210,230,128.5,0.095,1.61
35.4,0.31,152,200,3732,120.0,0.9,3.48
37.2,0.25,152,582,2930,118.0,0.057,2.98
80.5,0.35,150,582,230,118.0,0.3,2.01
29.6,0.31,152,315,2060,116.0,0.858,2.09
77.0,0.26,152,152,2663,128.5,0.057,4.6
37.0,0.29,194,200,2900,13.6,0.6,1.29
51.1,0.34,150,762,2390,115.2,2.56,1.49
49.4,0.23,194,210,2900,125.7,0.9,0.6
106.0,0.45,152,152,2390,115.2,0.169,1.15
50.64,0.25,152,457,230,13.6,0.072,0.63
77.2,0.29,194,315,3732,116.0,3.86,3.5
78.0,0.35,152,200,230,13.6,2.56,3.31
35.4,0.35,194,200,2930,116.0,0.9,0.58
110.1,0.46,100,582,2663,13.6,0.338,1.06
43.0,0.33,152,450,2900,115.2,0.572,3.22
78.5,0.24,152,200,2060,116.0,0.072,0.52
114.7,0.3,194,450,2900,115.2,3.86,0.52
28.79,0.2,70,315,2663,13.6,0.507,2.11
28.79,0.33,70,200,3732,116.0,0.858,2.33
102.2,0.23,150,457,2060,128.5,0.072,3.41
102.0,0.21,100,582,2930,99.0,0.338,1.11
57.5,0.27,70,152,2930,125.7,0.8,0.82
50.64,0.35,194,300,2900,120.0,0.338,0.51
57.5,0.46,105,762,2390,13.6,3.86,2.47
78.0,0.26,150,200,2390,125.7,0.338,1.96
107.3,0.34,70,152,3732,116.0,0.9,0.53
47.3,0.26,100,582,2060,13.6,0.9,0.39
77.2,0.33,152,457,2390,128.5,0.507,3.5
50.64,0.28,194,200,2930,115.2,0.072,1.88
110.1,0.26,194,315,2060,115.2,0.286,1.02
83.0,0.23,152,305,2663,115.2,0.3,1.78
46.43,0.27,70,300,3732,116.0,0.3,3.8
101.18,0.23,152,457,2900,115.2,1.2,0.71
57.5,0.28,194,315,230,118.0,0.8,1.61
77.2,0.46,152,300,2900,116.0,0.9,3.37
57.5,0.31,70,762,2663,118.0,0.4,2.98
83.6,0.31,152,305,2663,13.6,0.858,2.77
51.1,0.35,152,582,2930,116.0,0.3,2.18
43.0,0.34,100,315,2060,125.7,0.6,1.96
35.4,0.31,152,200,2900,118.0,0.191,0.57
37.0,0.21,100,315,2390,115.2,0.4,0.54
35.5,0.46,100,152,2390,116.0,0.095,3.4
28.79,0.26,152,200,3732,116.0,0.6,3.11
39.0,0.25,100,582,2930,118.0,0.8,2.53
100.0,0.3,152,200,2060,118.0,0.6,0.39
51.1,0.45,100,457,2900,118.0,0.8,2.47
28.79,0.2,100,315,2900,120.0,0.338,0.38
34.0,0.28,100,300,2930,115.2,0.095,1.15
82.4,0.45,152,762,2390,118.0,0.6,0.57
47.3,0.28,70,457,2060,118.0,0.3,1.65
101.18,0.46,152,210,230,116.0,0.191,0.93
78.5,0.28,100,582,2060,118.0,0.6,2.21
39.0,0.25,150,200,2390,115.2,0.8,0.57
39.0,0.33,100,762,2060,118.0,3.86,3.55
28.79,0.35,100,200,2663,116.0,0.6,0.46
29.6,0.29,194,152,2060,116.0,0.8,1.9
29.6,0.46,152,300,2663,99.0,0.143,1.87
119.3,0.45,100,200,2390,128.5,0.072,3.22
79.6,0.27,100,200,3732,115.2,0.072,1.89
77.0,0.31,152,200,230,115.2,0.6,0.52
77.9,0.23,70,457,2060,13.6,0.338,0.38
83.6,0.25,194,305,2060,120.0,0.4,0.36
78.5,0.46,152,200,3732,115.2,0.169,1.97
100.0,0.35,152,582,230,116.0,0.2,1.09
28.79,0.23,100,200,2390,125.7,0.095,0.94
114.7,0.33,152,450,2060,116.0,0.191,0.71
49.4,0.45,152,582,2930,115.2,3.86,2.05
55.2,0.2,194,300,2663,125.7,0.095,0.63
51.1,0.33,194,315,3732,13.6,0.4,2.07
102.2,0.35,194,152,2930,99.0,0.143,1.97
39.0,0.31,100,582,230,116.0,0.6,0.53
77.0,0.25,152,762,3732,125.7,1.2,0.82
77.9,0.23,100,152,2663,128.5,1.27,3.11
85.9,0.23,152,762,2663,120.0,0.338,1.7
102.0,0.25,105,582,2930,118.0,3.86,1.17
34.0,0.25,100,305,2900,115.2,3.86,1.43
57.5,0.35,150,450,3732,125.7,0.3,1.96
49.6,0.26,100,450,2060,128.5,0.169,1.67
101.18,0.31,100,457,2930,128.5,1.2,1.45
46.43,0.23,150,200,2663,13.6,2.56,0.88
110.2,0.2,70,305,2060,118.0,0.143,1.75
82.4,0.33,105,210,230,115.2,0.338,1.67
85.9,0.31,152,152,2663,13.6,0.191,1.17
82.4,0.29,150,152,2663,120.0,0.057,1.4
114.7,0.24,105,300,3732,99.0,0.6,2.09
55.2,0.35,100,315,3732,120.0,1.2,0.39
39.0,0.21,152,300,3732,120.0,0.2,3.17
77.9,0.28,150,305,2390,128.5,0.191,3.15
106.0,0.21,100,200,2930,125.7,0.572,1.95
78.5,0.45,105,305,2900,128.5,0.143,2.11
39.0,0.2,100,305,2390,118.0,0.507,1.61
114.7,0.24,70,152,2900,125.7,0.4,1.06
35.4,0.2,152,762,230,125.7,1.2,0.89
79.6,0.34,105,450,2930,13.6,0.507,2.06
49.6,0.31,105,200,2060,120.0,0.8,1.08
43.0,0.29,194,200,2900,99.0,1.2,2.89
84.9,0.46,150,152,2390,118.0,0.169,1.25
83.0,0.34,70,582,2663,120.0,0.072,0.95
37.2,0.45,100,300,2060,116.0,0.191,4.78
46.43,0.35,194,450,2663,13.6,0.8,3.73
74.0,0.2,194,210,2930,116.0,0.4,1.7
55.2,0.26,152,305,2900,118.0,2.56,1.62
83.6,0.28,70,210,2663,116.0,0.072,0.51
35.5,0.46,100,200,2060,115.2,0.169,2.34
37.0,0.46,100,457,230,116.0,0.8,1.02
55.2,0.3,152,300,2900,118.0,0.169,1.44
102.2,0.29,152,457,2060,128.5,0.286,1.02
55.2,0.35,194,305,2390,99.0,0.286,0.89
43.0,0.23,100,457,3732,115.2,0.572,3.39
109.8,0.35,100,152,3732,128.5,0.9,4.6
109.8,0.26,70,305,2390,116.0,0.6,3.1
83.6,0.3,152,152,3732,99.0,0.4,4.6
39.2,0.23,150,210,2900,120.0,0.338,1.63
102.2,0.35,70,582,2663,99.0,0.191,3.37
80.5,0.46,70,200,2663,115.2,0.338,1.25
28.79,0.3,194,305,2663,125.7,0.286,0.52
114.7,0.46,70,450,2663,120.0,1.27,1.64
57.5,0.35,70,582,2663,128.5,0.572,0.82
104.5,0.26,70,200,2900,13.6,0.507,1.78
85.9,0.29,100,200,2930,13.6,0.9,3.22
28.79,0.21,152,200,2663,99.0,0.8,1.11
82.4,0.46,194,582,2060,115.2,0.057,0.57
35.5,0.28,100,200,3732,116.0,0.143,1.06
39.2,0.35,105,582,2930,125.7,3.86,2.21
49.6,0.25,105,305,2663,125.7,1.2,1.29
35.4,0.28,150,200,2900,99.0,0.3,1.11
104.5,0.2,194,450,230,120.0,0.338,2.89
101.18,0.46,194,457,2900,125.7,0.338,1.78
79.6,0.23,150,457,2930,13.6,1.2,3.8
100.0,0.25,100,305,2663,128.5,1.2,1.61
109.8,0.19,105,200,230,99.0,0.191,2.09
55.2,0.2,194,582,2663,118.0,0.072,0.91
29.6,0.45,70,152,2390,128.5,2.56,1.06
35.4,0.25,100,450,2900,116.0,0.338,1.88
106.0,0.33,105,582,2390,13.6,2.56,3.39
106.0,0.27,152,582,2390,125.7,0.286,1.25
114.7,0.27,105,300,2060,128.5,0.072,3.4
107.3,0.33,100,152,2390,116.0,0.6,3.15
57.5,0.28,105,305,2390,118.0,0.9,3.68
83.0,0.24,100,305,2390,120.0,0.572,2.33
102.0,0.3,194,450,2663,13.6,0.143,1.11
47.3,0.25,105,762,2663,116.0,0.338,2.05
35.5,0.2,105,762,2900,118.0,0.057,1.44
46.43,0.24,100,200,2390,118.0,0.572,0.51
39.2,0.23,150,305,2390,115.2,0.286,1.97
119.3,0.21,150,315,2390,128.5,0.6,1.02
78.0,0.46,100,200,230,125.7,0.9,2.05
110.1,0.2,100,315,3732,118.0,0.858,1.71
57.5,0.3,100,305,2390,125.7,0.2,1.68
47.3,0.33,152,315,2930,13.6,2.56,3.18
102.2,0.27,194,200,2900,115.2,0.095,2.18
77.9,0.31,152,152,230,116.0,0.191,0.52
39.0,0.29,194,300,2900,115.2,0.4,1.4
36.6,0.33,105,200,230,13.6,3.86,1.95
78.5,0.19,105,762,2663,116.0,0.338,2.05
37.0,0.21,100,457,2930,116.0,0.572,2.89
39.2,0.28,152,582,2900,125.7,1.2,2.96
100.0,0.19,152,457,2390,125.7,2.56,2.07
49.6,0.28,100,305,3732,118.0,0.2,3.68
47.3,0.31,194,457,3732,120.0,0.572,0.37
83.0,0.23,152,315,2390,116.0,0.072,3.41
36.6,0.33,100,210,2390,120.0,0.572,1.62
78.5,0.34,100,200,2060,120.0,0.858,0.53
77.0,0.35,105,152,3732,118.0,0.338,0.46
107.3,0.31,194,152,2390,118.0,2.56,1.65
37.2,0.35,194,457,3732,99.0,0.095,3.5
39.0,0.33,105,582,2930,118.0,0.572,2.12
114.7,0.31,70,152,2930,118.0,0.858,2.98
83.0,0.35,105,457,2900,125.7,2.56,0.38
36.6,0.28,152,200,3732,120.0,0.338,2.53
34.0,0.46,152,450,2663,118.0,0.2,0.39
55.2,0.25,105,315,2663,128.5,0.4,0.53
102.2,0.28,70,200,2390,118.0,0.169,3.37
74.0,0.34,70,300,3732,118.0,0.6,2.01
82.4,0.3,194,200,2900,128.5,0.4,0.54
109.8,0.25,152,300,2060,116.0,0.3,2.81
85.9,0.28,70,315,2930,118.0,0.4,3.68
114.7,0.25,150,200,3732,120.0,0.4,2.2
29.6,0.34,152,315,230,116.0,0.6,1.87
28.79,0.35,150,200,2663,128.5,0.143,1.43
74.0,0.2,150,457,2663,115.2,3.86,0.47
49.6,0.26,100,582,3732,120.0,0.6,2.01
102.2,0.23,152,152,3732,120.0,0.6,1.45
83.0,0.33,100,582,2060,116.0,1.2,2.6
35.4,0.31,100,300,3732,128.5,0.2,1.08
